MMSI,TrackNumber,SimpleVesselType,ComplexVesselType,StartTime,ContestVesselType
211243240,130108,Trawler,Bottom Otter Trawler,1435737473,Trawler
211245680,119509,Trawler,Beam Trawler,1435715058,Trawler
211265640,126244,Trawler,Beam Trawler,1437739244,Trawler
211267780,103225,Trawler,Bottom Otter Trawler,1435709706,Trawler
211270480,126422,Trawler,Beam Trawler,1435708842,Trawler
211271330,123963,Trawler,Beam Trawler,1435967729,Trawler
211272400,106293,Trawler,Beam Trawler,1435741271,Trawler
211287590,113348,Trawler,Beam Trawler,1435717889,Trawler
211294100,110300,Trawler,Beam Trawler,1435960420,Trawler
211307520,110669,Trawler,Beam Trawler,1435810225,Trawler
211312240,125600,Trawler,Beam Trawler AND Bottom Otter Trawler,1435709607,Trawler
211313780,127711,Trawler,Beam Trawler,1435913068,Trawler
211314600,114117,Trawler,Beam Trawler,1435966088,Trawler
211314800,130271,Trawler,Bottom Otter Trawler,1435763491,Trawler
211314880,104891,Trawler,BottomPairTrawler,1435709041,Trawler
211314990,117024,Trawler,Beam Trawler,1435709083,Trawler
211315540,104632,Trawler,Beam Trawler,1435709425,Trawler
211315620,125413,Trawler,Beam Trawler,1435708848,Trawler
211315630,127849,Trawler,Beam Trawler,1435709116,Trawler
211316900,107115,Trawler,Beam Trawler,1435814039,Trawler
211317290,113866,Trawler,Beam Trawler,1435710196,Trawler
211319670,119702,Trawler,Beam Trawler,1435710004,Trawler
211342220,128246,Trawler,Beam Trawler AND Bottom Otter Trawler,1435709076,Trawler
211342400,103747,Trawler,Beam Trawler,1435708819,Trawler
211344000,111716,Trawler,Beam Trawler,1435718127,Trawler
211351000,100442,Trawler,Beam Trawler,1435714244,Trawler
211370000,101415,Trawler,Beam Trawler,1436068882,Trawler
211373830,117401,Trawler,Bottom Otter Trawler,1435708887,Trawler
211375000,112264,Trawler,Beam Trawler,1435709688,Trawler
211376000,101588,Trawler,Beam Trawler,1435712030,Trawler
211386440,108149,Trawler,Beam Trawler,1435978710,Trawler
211389510,110521,Trawler,Beam Trawler,1435719861,Trawler
211392000,108275,Trawler,Beam Trawler,1435709424,Trawler
211396000,104102,Trawler,Beam Trawler,1435894148,Trawler
211400000,104507,Trawler,Bottom Otter Trawler,1435736178,Trawler
211416000,114583,Trawler,Beam Trawler,1435869659,Trawler
211419000,131632,Trawler,Beam Trawler,1435905345,Trawler
211420000,116749,Trawler,Beam Trawler,1438413752,Trawler
211426000,125285,Trawler,Beam Trawler,1435832427,Trawler
211438440,125495,Trawler,Beam Trawler,1435709499,Trawler
211439000,100650,Trawler,Beam Trawler,1436886024,Trawler
211440000,130110,Trawler,Bottom Otter Trawler,1442499183,Trawler
211450000,107987,Trawler,Bottom Pair Trawler,1441094763,Trawler
211458000,124674,Trawler,Beam Trawler,1436013348,Trawler
211459000,129670,Trawler,Beam Trawler,1435878045,Trawler
211463000,109761,Trawler,Bottom Otter Trawler,1435718205,Trawler
211466000,126487,Trawler,Beam Trawler,1435709198,Trawler
211467840,130402,Trawler,Bottom Otter Trawler,1439896814,Trawler
211469000,108189,Trawler,Beam Trawler,1436428991,Trawler
211476000,106221,Trawler,Beam Trawler,1435708800,Trawler
211477000,108238,Trawler,Bottom Otter Trawler AND BottomPairTrawler,1436963733,Trawler
211479000,112286,Trawler,Bottom Otter Trawler,1436837042,Trawler
211484000,103834,Trawler,Beam Trawler,1437933436,Trawler
211486000,109138,Trawler,Beam Trawler,1437535753,Trawler
211489000,112098,Trawler,Beam Trawler,1435708953,Trawler
211492000,126087,Trawler,Beam Trawler,1435709256,Trawler
211495000,115980,Trawler,Beam Trawler,1438087274,Trawler
211501000,131774,Trawler,Beam Trawler,1435828142,Trawler
211502000,109867,Trawler,Beam Trawler,1437562815,Trawler
211505000,110653,Trawler,Beam Trawler,1435731381,Trawler
211510290,104742,Trawler,Beam Trawler,1435716103,Trawler
211516210,116361,Trawler,Bottom Otter Trawler,1440056609,Trawler
211516260,132645,Trawler,Bottom Otter Trawler,1436242146,Trawler
211516530,102355,Trawler,Bottom Otter Trawler,1435949587,Trawler
211517200,119295,Trawler,Bottom Otter Trawler,1435712592,Trawler
211517230,103783,Trawler,Bottom Otter Trawler,1435985115,Trawler
211517810,113840,Trawler,Bottom Otter Trawler,1435726646,Trawler
211520710,119643,Trawler,Beam Trawler,1438158386,Trawler
211522000,129764,Trawler,Beam Trawler,1435708806,Trawler
211526000,126032,Trawler,Beam Trawler,1435708860,Trawler
211528000,122943,Trawler,Beam Trawler,1435855149,Trawler
211530000,117019,Trawler,Beam Trawler,1435715993,Trawler
211532000,106049,Trawler,Beam Trawler,1435921425,Trawler
211535000,120156,Trawler,Bottom Otter Trawler,1435709843,Trawler
211535140,132479,Trawler,Beam Trawler,1435730712,Trawler
211544000,124348,Trawler,Beam Trawler,1437538792,Trawler
211545000,107781,Trawler,Beam Trawler,1436313920,Trawler
211546000,106742,Trawler,Beam Trawler,1435710067,Trawler
211551000,113252,Trawler,Beam Trawler,1435708856,Trawler
211552000,122637,Trawler,Beam Trawler,1435708916,Trawler
211559000,120299,Trawler,Bottom Otter Trawler AND BottomPairTrawler,1435709046,Trawler
211561000,103542,Trawler,Beam Trawler,1435709048,Trawler
211563000,111769,Trawler,Beam Trawler,1439114224,Trawler
211586000,123444,Trawler,Beam Trawler,1435709645,Trawler
211590000,102409,Trawler,Beam Trawler,1435733353,Trawler
211593750,128065,Trawler,Bottom Otter Trawler,1435794701,Trawler
211595000,121592,Trawler,Beam Trawler,1435872563,Trawler
211599000,125017,Trawler,Beam Trawler,1435967971,Trawler
211605000,118985,Trawler,Beam Trawler,1435709448,Trawler
211607000,103458,Trawler,Beam Trawler,1437706970,Trawler
211608000,118073,Trawler,Beam Trawler,1435709107,Trawler
211618000,101411,Trawler,Beam Trawler,1435826986,Trawler
211623000,120643,Trawler,Beam Trawler,1435709551,Trawler
211625000,100287,Trawler,Beam Trawler,1436323449,Trawler
211626000,118974,Trawler,Beam Trawler,1435708953,Trawler
211639000,103102,Trawler,Beam Trawler,1435741941,Trawler
211647800,114529,Trawler,Beam Trawler,1435709772,Trawler
211653680,101939,Trawler,Beam Trawler,1436259802,Trawler
211667030,106096,Trawler,Beam Trawler,1435709044,Trawler
211670320,107356,Trawler,Beam Trawler,1435709554,Trawler
211671890,116005,Trawler,Beam Trawler,1435732678,Trawler
211758000,121488,Trawler,Bottom Otter Trawler,1438611351,Trawler
211815000,106769,Trawler,Beam Trawler,1435708871,Trawler
211830000,129749,Trawler,Beam Trawler,1435729274,Trawler
212470000,103860,Longliner,Longliner,1435778538,Longliner
215000063,104138,Longliner,Longliner,1440759622,Longliner
215000460,102203,Fishing Support Vessel,Support Vessel,1435712053,Support
215000650,107271,Longliner,Longliner,1436237846,Longliner
218162000,102113,Trawler,Midwater Pair Trawler,1435718317,Trawler
218325000,128437,Trawler,Midwater Pair Trawler,1435709619,Trawler
218359000,117950,Trawler,Midwater Pair Trawler,1435709016,Trawler
218363000,114832,Trawler,Otter Twin Trawler,1436337597,Trawler
218556000,131604,Trawler,Beam Trawler,1435709127,Trawler
218799000,100576,Trawler,Bottom Otter Trawler,1435713936,Trawler
219001189,121544,Trawler,Bottom Otter Trawler AND Beam Trawler,1435709225,Trawler
219001588,118680,Seiner,Danish Seine,1435709156,Seiner
219002838,107859,Trawler,Bottom Otter Trawler,1435708959,Trawler
219004128,116181,Trawler,Bottom Otter Trawler,1436116136,Trawler
219005286,132398,Trawler,Bottom Otter Trawler,1435708820,Trawler
219005502,100045,Trawler,Bottom Otter Trawler,1435709001,Trawler
219006382,100144,Trawler,Beam Trawler,1435708901,Trawler
219007269,112165,Trawler,Bottom Otter Trawler AND Midwater Pair Trawler,1435927228,Trawler
219008927,122745,Trawler,Bottom Otter Trawler,1438584007,Trawler
219009041,120707,Trawler,Beam Trawler,1435708913,Trawler
219009244,119226,Trawler,Bottom Otter Trawler,1435709315,Trawler
219010989,103736,Trawler,Bottom Otter Trawler,1436433625,Trawler
219011225,126782,Trawler,Beam Trawler,1435709072,Trawler
219012671,110455,Trawler,Bottom Otter Trawler,1435773397,Trawler
219013485,129052,Trawler,Bottom Otter Trawler,1435709223,Trawler
219013538,116937,Trawler,Bottom Otter Trawler,1436116253,Trawler
219013539,121180,Trawler,Bottom Otter Trawler,1435784895,Trawler
219015103,132085,Trawler,Bottom Otter Trawler,1435711360,Trawler
219016764,104031,Trawler,Bottom Otter Trawler,1435708895,Trawler
219017843,124228,Trawler,Bottom Otter Trawler,1435708940,Trawler
219125000,110240,Trawler,Bottom Otter Trawler,1435709753,Trawler
219257000,129596,Trawler,Bottom Otter Trawler,1435712748,Trawler
219328000,113987,Trawler,Bottom Otter Trawler AND Midwater Pair Trawler,1435709369,Trawler
219421000,124917,Trawler,Bottom Otter Trawler,1435708910,Trawler
219429000,130297,Seiner,Danish Seine,1435709052,Seiner
219536000,121677,Trawler,Bottom Otter Trawler,1435719994,Trawler
219751000,113266,Trawler,Bottom Otter Trawler,1435712784,Trawler
219754000,102735,Trawler,Bottom Otter Trawler,1435708902,Trawler
219799000,120864,Seiner,Danish Seine,1435712530,Seiner
219809000,100227,Seiner,Danish Seine,1435709861,Seiner
219862000,117662,Trawler,Bottom Otter Trawler AND Beam Trawler,1435709424,Trawler
219956000,121104,Trawler,Bottom Otter Trawler,1435709583,Trawler
219959000,110570,Trawler,Bottom Otter Trawler,1435709020,Trawler
220054000,126093,Seiner,Danish Seine,1435709459,Seiner
220128000,132191,Trawler,Bottom Otter Trawler,1435708854,Trawler
220137000,110081,Trawler,Bottom Otter Trawler,1435806110,Trawler
220151000,122712,Trawler,Bottom Otter Trawler,1435712977,Trawler
220202000,132416,Trawler,Bottom Otter Trawler,1435709785,Trawler
220247000,119907,Trawler,Midwater Pair Trawler,1435709131,Trawler
220307000,131288,Trawler,Bottom Otter Trawler,1435709267,Trawler
220323000,129941,Trawler,Bottom Otter Trawler,1435806304,Trawler
220329000,113009,Trawler,Bottom Otter Trawler,1435708976,Trawler
220338000,100607,Trawler,Bottom Otter Trawler,1435709079,Trawler
220341000,130024,Trawler,Bottom Otter Trawler,1435955730,Trawler
220369000,117201,Trawler,Bottom Otter Trawler,1435709899,Trawler
220383000,102956,Trawler,Beam Trawler,1435709062,Trawler
220461000,127564,Purse Seiner,Purse Seiner,1435712742,Seiner
220482000,107330,Trawler,Bottom Otter Trawler AND Midwater Pair Trawler,1435709064,Trawler
220616000,103919,Trawler,Bottom Otter Trawler,1435709247,Trawler
224000390,118158,Trawler,Bottom Otter Trawler,1435710406,Trawler
224002820,115701,Fishing Support Vessel,Support Vessel(BB / PS),1438073335,Support
224003580,123539,Purse Seiner,Purse Seiner,1435709447,Seiner
224004000,102164,Trawler,Bottom Otter Trawler,1437017512,Trawler
224004420,130350,Purse Seiner,Purse Seiner,1435709641,Seiner
224004950,121144,Trawler,Bottom Otter Trawler,1435709782,Trawler
224005250,103480,Longliner,Longliner,1436704454,Longliner
224005270,115698,Trawler,Bottom Otter Trawler,1435725551,Trawler
224005790,110533,Longliner,Longliner,1435712954,Longliner
224005860,115351,Purse Seiner,Purse Seiner,1436843440,Seiner
224006570,124514,Purse Seiner,Purse Seiner,1435724934,Seiner
224007230,115862,Purse Seiner,Purse Seiner,1441806461,Seiner
224007840,100262,Trawler,Bottom Otter Trawler,1435719867,Trawler
224008640,128206,Purse Seiner,Purse Seiner,1435714162,Seiner
224009750,119182,Purse Seiner,Purse Seiner,1435786206,Seiner
224009880,113104,Trawler,Bottom Otter Trawler,1435734800,Trawler
224010000,111466,Longliner,Longliner,1435709069,Longliner
224010120,102408,Longliner,Longliner,1435710182,Longliner
224010630,107230,Trawler,Bottom Otter Trawler,1438077020,Trawler
224010920,125874,Trawler,Bottom Otter Trawler,1435723052,Trawler
224010950,103527,Trawler,Bottom Otter Trawler,1435724375,Trawler
224010960,105470,Trawler,Bottom Otter Trawler,1435722879,Trawler
224011110,120815,Purse Seiner,Purse Seiner,1435725043,Seiner
224011150,115374,Trawler,Bottom Otter Trawler,1435723197,Trawler
224011160,103603,Trawler,Bottom Otter Trawler,1435723054,Trawler
224011990,113292,Longliner,Longliner,1435818222,Longliner
224012850,124641,Purse Seiner,Purse Seiner,1435708943,Seiner
224012860,129213,Trawler,Bottom Otter Trawler,1435729104,Trawler
224012890,108141,Purse Seiner,Purse Seiner,1435709533,Seiner
224013020,110603,Trawler,Bottom Otter Trawler,1435720385,Trawler
224013090,110024,Trawler,Trawler,1435709620,Trawler
224013220,131770,Trawler,Trawler,1435709475,Trawler
224013440,120039,Pole and Line,Handliner,1436073784,Other
224013710,117757,Trawler,Bottom Otter Trawler,1435709399,Trawler
224014270,122162,Trawler,Bottom Otter Trawler,1435725991,Trawler
224014440,106263,Trawler,Bottom Otter Trawler,1435718875,Trawler
224014460,122797,Trawler,Bottom Otter Trawler,1435718234,Trawler
224014490,102178,Trawler,Bottom Otter Trawler,1435805646,Trawler
224014550,114844,Trawler,Bottom Otter Trawler,1435722856,Trawler
224015550,114947,Longliner,Tuna longliner,1435720205,Longliner
224016530,122648,Longliner,Longliner,1436985011,Longliner
224016630,121637,Purse Seiner,Purse Seiner,1435712155,Seiner
224016930,120019,Longliner,Longliner,1435747136,Longliner
224017000,131785,Longliner,Tuna longliner,1435720240,Longliner
224017120,108777,Purse Seiner,Purse Seiner,1435709169,Seiner
224017280,114919,Trawler,Bottom Otter Trawler,1441168255,Trawler
224017830,123632,Longliner,Longliner,1435889494,Longliner
224018390,105833,Purse Seiner,Purse Seiner,1435991512,Seiner
224018440,115322,Longliner,Longliner,1435749613,Longliner
224018890,131864,Trawler,Bottom Otter Trawler,1435718461,Trawler
224019680,116016,Purse Seiner,Purse Seiner,1435709544,Seiner
224019690,102762,Purse Seiner,Purse Seiner,1435746622,Seiner
224020000,107180,Longliner,Longliner,1435718954,Longliner
224020170,128265,Trawler,Bottom Otter Trawler,1435759888,Trawler
224020340,107185,Longliner,Longliner,1435711543,Longliner
224020390,129489,Purse Seiner,Purse Seiner,1435708943,Seiner
224020840,120200,Purse Seiner,Purse Seiner,1435708941,Seiner
224020890,122420,Longliner,Longliner,1435709018,Longliner
224020990,127882,Purse Seiner,Purse Seiner,1435709554,Seiner
224021580,109191,Purse Seiner,Purse Seiner,1435812711,Seiner
224021640,130451,Purse Seiner,Purse Seiner,1435759432,Seiner
224021650,104165,Purse Seiner,Purse Seiner,1435712380,Seiner
224021860,129042,Trawler,Bottom Otter Trawler,1435720047,Trawler
224021940,114789,Purse Seiner,Purse Seiner,1435709211,Seiner
224022140,118809,Trawler,Bottom Otter Trawler,1435719651,Trawler
224022170,131554,Trawler,Bottom Otter Trawler,1435709165,Trawler
224022330,132400,Purse Seiner,Purse Seiner,1435714780,Seiner
224022620,132286,Purse Seiner,Purse Seiner,1435710495,Seiner
224022730,125246,Purse Seiner,Purse Seiner,1435710046,Seiner
224022760,104059,Pole and Line,Handliner,1436006264,Other
224022810,112087,Purse Seiner,Purse Seiner,1435753315,Seiner
224022910,118015,Longliner,Longliner,1441716029,Longliner
224023480,130961,Purse Seiner,Purse Seiner,1435708942,Seiner
224023970,130217,Purse Seiner,Purse Seiner,1435709397,Seiner
224024450,102508,Longliner,Longliner,1437606669,Longliner
224024540,117891,Purse Seiner,Purse Seiner,1435708989,Seiner
224025780,114318,Trawler,Bottom Otter Trawler,1435730085,Trawler
224025970,116903,Purse Seiner,Purse Seiner,1435716379,Seiner
224026690,120946,Trawler,Bottom Otter Trawler,1435727146,Trawler
224026860,126359,Trawler,Trawler,1435746828,Trawler
224027250,105844,Trawler,Bottom Otter Trawler,1435708997,Trawler
224027520,123858,Trawler,Bottom Otter Trawler,1435709483,Trawler
224027550,125143,Trawler,Bottom Otter Trawler,1435720961,Trawler
224027970,132540,Trawler,Bottom Otter Trawler,1435717570,Trawler
224028550,114973,Purse Seiner,Purse Seiner,1435709739,Seiner
224028630,128566,Pole and Line,Handliner,1436258855,Other
224029580,114065,Purse Seiner,Purse Seiner,1435713571,Seiner
224029760,112340,Longliner,Longliner,1435713464,Longliner
224029830,108897,Purse Seiner,Purse Seiner,1435712414,Seiner
224030940,127152,Gillnetter,Gillnetter,1435924109,Other
224031340,124693,Longliner,Longliner,1435709347,Longliner
224031680,128370,Purse Seiner,Purse Seiner,1435712964,Seiner
224031990,103164,Trawler,Bottom Otter Trawler,1439379667,Trawler
224032470,107825,Purse Seiner,Purse Seiner,1435708998,Seiner
224040470,106552,Purse Seiner,Purse Seiner,1436128740,Seiner
224041540,127975,Purse Seiner,Purse Seiner,1435759460,Seiner
224042740,116654,Purse Seiner,Purse Seiner,1435709698,Seiner
224042880,110903,Purse Seiner,Purse Seiner,1435716556,Seiner
224043370,128259,Purse Seiner,Purse Seiner,1435709665,Seiner
224043560,109054,Longliner,Longliner,1435713606,Longliner
224044870,129280,Longliner,Longliner,1435712843,Longliner
224045260,102357,Longliner,Longliner,1435713466,Longliner
224045930,128095,Longliner,Longliner,1435713560,Longliner
224046360,108109,Purse Seiner,Purse Seiner,1435725380,Seiner
224046430,126225,Trawler,Bottom Otter Trawler,1435712975,Trawler
224047270,124067,Purse Seiner,Purse Seiner,1435710595,Seiner
224047360,124605,Trawler,Bottom Otter Trawler,1435711105,Trawler
224047430,107173,Trawler,Trawler,1435708804,Trawler
224047490,113577,Trawler,Bottom Otter Trawler,1435719741,Trawler
224047990,129227,Longliner,Longliner,1435713454,Longliner
224048150,117694,Longliner,Longliner,1435770239,Longliner
224048290,129423,Trawler,Bottom Otter Trawler,1435709338,Trawler
224048840,131869,Purse Seiner,Purse Seiner,1435777567,Seiner
224048880,129688,Purse Seiner,Purse Seiner,1435709102,Seiner
224049380,100898,Trawler,Bottom Otter Trawler,1439364398,Trawler
224049860,132457,Longliner,Longliner,1435952663,Longliner
224050230,126434,Purse Seiner,Purse Seiner,1436130408,Seiner
224050240,101387,Purse Seiner,Purse Seiner,1436128539,Seiner
224050990,128712,Trawler,Bottom Otter Trawler,1435709512,Trawler
224051160,122389,Purse Seiner,Purse Seiner,1435713352,Seiner
224051330,116183,Trawler,Bottom Otter Trawler,1435716201,Trawler
224051560,119825,Purse Seiner,Purse Seiner,1435713370,Seiner
224051650,132428,Purse Seiner,Purse Seiner,1435713508,Seiner
224052260,102031,Trawler,Bottom Otter Trawler,1435710906,Trawler
224052370,124018,Longliner,Longliner,1435713700,Longliner
224052850,109281,Purse Seiner,Purse Seiner,1435708913,Seiner
224053240,132257,Trawler,Bottom Otter Trawler,1441103143,Trawler
224053530,124049,Purse Seiner,Purse Seiner,1435711064,Seiner
224053650,124857,Longliner,Longliner,1435708941,Longliner
224055180,104416,Purse Seiner,Purse Seiner,1435709382,Seiner
224055240,111725,Longliner,Longliner,1435818129,Longliner
224055830,104408,Purse Seiner,Purse Seiner,1435709081,Seiner
224055870,115122,Trawler,Bottom Otter Trawler,1435721373,Trawler
224057370,101096,Longliner,Longliner,1435709118,Longliner
224057830,130765,Gillnetter,Gillnetter,1435709632,Other
224057890,123139,Purse Seiner,Purse Seiner,1435709121,Seiner
224057930,126977,Trawler,Bottom Otter Trawler,1435720437,Trawler
224057990,128633,Trawler,Bottom Otter Trawler,1435710098,Trawler
224059230,130538,Purse Seiner,Purse Seiner,1435709546,Seiner
224060150,115485,Purse Seiner,Purse Seiner,1435709687,Seiner
224060850,103719,Purse Seiner,Purse Seiner,1435709404,Seiner
224063780,132011,Purse Seiner,Purse Seiner,1435709274,Seiner
224063790,122067,Longliner,Longliner,1435708846,Longliner
224064930,125381,Trawler,Bottom Otter Trawler,1436183374,Trawler
224065000,108635,Trawler,Trawler,1435708880,Trawler
224066570,101809,Trawler,Bottom Otter Trawler,1435827239,Trawler
224066580,105262,Longliner,Longliner,1435734338,Longliner
224066650,119358,Trawler,Bottom Otter Trawler,1435724271,Trawler
224066890,128134,Trawler,Bottom Otter Trawler,1435718396,Trawler
224067130,118768,Longliner,Longliner,1435759453,Longliner
224067470,109445,Trawler,Bottom Otter Trawler,1435731142,Trawler
224067670,126646,Trawler,Bottom Otter Trawler,1435708965,Trawler
224068000,112437,Longliner,Longliner,1435732074,Longliner
224068340,112517,Trawler,Bottom Otter Trawler,1435710447,Trawler
224068560,115968,Purse Seiner,Purse Seiner,1436129928,Seiner
224069140,127890,Trawler,Bottom Otter Trawler,1440608840,Trawler
224069550,105628,Purse Seiner,Purse Seiner,1435709751,Seiner
224069760,107327,Longliner,Longliner,1435709626,Longliner
224069870,106568,Trawler,Bottom Otter Trawler,1435718220,Trawler
224069960,110850,Longliner,Longliner,1435713472,Longliner
224069970,108536,Longliner,Longliner,1436245848,Longliner
224070140,109428,Trawler,Bottom Otter Trawler,1435903643,Trawler
224070150,130073,Trawler,Bottom Otter Trawler,1435720770,Trawler
224070380,102215,Trawler,Bottom Otter Trawler,1435724903,Trawler
224070440,107136,Trawler,Bottom Otter Trawler,1435728124,Trawler
224070490,122769,Trawler,Bottom Otter Trawler,1435731197,Trawler
224070630,120849,Trawler,Bottom Otter Trawler,1435722248,Trawler
224071000,121311,Longliner,Longliner,1435713650,Longliner
224071650,105905,Purse Seiner,Purse Seiner,1435709306,Seiner
224071880,130818,Trawler,Bottom Otter Trawler,1435715961,Trawler
224071980,115714,Purse Seiner,Purse Seiner,1435709496,Seiner
224072270,119590,Longliner,Longliner,1435709782,Longliner
224072280,107188,Longliner,Longliner,1435773077,Longliner
224072470,106859,Purse Seiner,Purse Seiner,1435729336,Seiner
224072760,128978,Purse Seiner,Purse Seiner,1435708916,Seiner
224072890,113086,Trawler,Bottom Otter Trawler,1435708883,Trawler
224072990,101463,Purse Seiner,Purse Seiner,1435708849,Seiner
224073390,121358,Trawler,Bottom Otter Trawler,1435717907,Trawler
224073580,131898,Purse Seiner,Purse Seiner,1435709180,Seiner
224073630,113809,Purse Seiner,Purse Seiner,1435713642,Seiner
224073830,120271,Trawler,Bottom Otter Trawler,1435718114,Trawler
224073960,128119,Purse Seiner,Purse Seiner,1435774293,Seiner
224074180,130904,Pole and Line,Pole and Line,1435713070,Other
224074660,100060,Trawler,Bottom Otter Trawler,1436178081,Trawler
224074680,107108,Trawler,Bottom Otter Trawler,1435718798,Trawler
224075000,125313,Trawler,Trawler,1435709483,Trawler
224075480,101916,Trawler,Bottom Otter Trawler,1435718915,Trawler
224076000,128282,Longliner,Longliner,1435712705,Longliner
224076530,102753,Trawler,Bottom Otter Trawler,1435732621,Trawler
224076970,115440,Purse Seiner,Purse Seiner,1435709342,Seiner
224077140,102728,Purse Seiner,Purse Seiner,1435726798,Seiner
224077240,123674,Purse Seiner,Purse Seiner,1435709534,Seiner
224077440,125079,Purse Seiner,Purse Seiner,1435709989,Seiner
224077590,103808,Purse Seiner,Purse Seiner,1435769653,Seiner
224078290,107550,Purse Seiner,Purse Seiner,1435708969,Seiner
224078780,129002,Trawler,Bottom Otter Trawler,1435717047,Trawler
224078870,108844,Trawler,Bottom Otter Trawler,1435714144,Trawler
224079240,116228,Purse Seiner,Purse Seiner,1436200419,Seiner
224079580,100371,Trawler,Bottom Otter Trawler,1435716000,Trawler
224080660,127881,Purse Seiner,Purse Seiner,1435787451,Seiner
224080680,115555,Trawler,Bottom Otter Trawler,1436232255,Trawler
224080860,128290,Purse Seiner,Purse Seiner,1435709411,Seiner
224080990,124676,Trawler,Bottom Otter Trawler,1435729210,Trawler
224081130,100996,Longliner,Longliner,1435753210,Longliner
224081290,120047,Pole and Line,Handliner,1438090088,Other
224081430,122077,Longliner,Longliner,1435709395,Longliner
224081450,129664,Purse Seiner,Purse Seiner,1435709368,Seiner
224081690,132249,Longliner,Longliner,1435709448,Longliner
